n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	20	12	20	-12	20	0	8	12	8	-12	8
2	0	20	11.2763	24.1042	-11.2763	24.1042	0	8	11.2763	12.1042	-11.2763	12.1042
3	0	20	11.2763	15.8958	-11.2763	15.8958	0	8	11.2763	3.8958	-11.2763	3.8958
4	0	20	-12	20	12	20	0	8	-12	8	12	8
5	0	20	-11.2763	24.1042	11.2763	24.1042	0	8	-11.2763	12.1042	11.2763	12.1042
6	0	20	-11.2763	15.8958	11.2763	15.8958	0	8	-11.2763	3.8958	11.2763	3.8958
7	0	20	24	20	-24	20	0	8	24	8	-24	8
8	0	20	22.5526	28.2085	-22.5526	28.2085	0	8	22.5526	16.2085	-22.5526	16.2085
9	0	20	22.5526	11.7915	-22.5526	11.7915	0	8	22.5526	-0.2085	-22.5526	-0.2085
10	0	20	-24	20	24	20	0	8	-24	8	24	8
11	0	20	-22.5526	28.2085	22.5526	28.2085	0	8	-22.5526	16.2085	22.5526	16.2085
12	0	20	-22.5526	11.7915	22.5526	11.7915	0	8	-22.5526	-0.2085	22.5526	-0.2085

